<<<<<<< HEAD
"","timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_left","shapiro_w_p_value_left","shapiro_w_statistic_right","shapiro_w_p_value_right","t_degrees_freedom"
"t",1,"gbca_cortex",-0.521837904187899,0.624066917765953,-8.20566666666667,0.931590173551093,0.592436903685935,0.877280955277926,0.256801679533039,5
"t1",2,"gbca_cortex",-1.07386838936063,0.331950605292147,-23.0453333333333,0.820783301159268,0.089639795757945,0.930346735769054,0.582782213834507,5
"t2",3,"gbca_cortex",-0.67350061858202,0.530500633848359,-2.21233333333333,0.970370123924677,0.894911464347202,0.890889866061803,0.322876609659956,5
"t3",4,"gbca_cortex",0.540825836935914,0.611841188421374,1.95633333333333,0.985722447736665,0.976214983603117,0.915934024917076,0.476569132969318,5
"t4",5,"gbca_cortex",0.0381518442729327,0.971394790422097,0.11460000000001,0.930010641462593,0.596443085105863,0.981498691476705,0.942475834851891,4
"t5",1,"gbca_medulla",-0.0968154102336026,0.926633928961257,-0.576499999999996,0.923527100523529,0.53111945777409,0.910034543336754,0.436623643031476,5
"t6",2,"gbca_medulla",-0.594313065691603,0.578171726245236,-14.0768333333333,0.883736627854429,0.28665920627936,0.96409372680666,0.850666788271947,5
"t7",3,"gbca_medulla",-0.616035276662136,0.56483146582833,-3.90366666666668,0.977983352365871,0.941105518776403,0.963221809206669,0.844194136471787,5
"t8",4,"gbca_medulla",-0.0381859511864431,0.971017166813223,-0.0606666666666626,0.936574823879655,0.631740737912349,0.850794246853711,0.159748417051018,5
"t9",5,"gbca_medulla",-1.25063737061151,0.279230100584774,-5.3364,0.934157488899293,0.624982371100886,0.930976922661127,0.603047554530881,4
"t10",1,"gbca_pelvis",2.14338497609553,0.084952756401935,7.24333333333333,0.974853384650178,0.92330389819988,0.984600914975391,0.972010370383075,5
"t11",2,"gbca_pelvis",-0.979137273356815,0.372479538552184,-23.8318333333333,0.850218600359006,0.158047563271968,0.845990658808164,0.14602881224691,5
"t12",3,"gbca_pelvis",1.06460287705945,0.335743286410438,19.293,0.924910249042062,0.541407953113737,0.852546305375574,0.165022781694221,5
"t13",4,"gbca_pelvis",0.0241330581301661,0.98167999325697,0.343166666666662,0.950449553660655,0.743921449804831,0.882229400555489,0.279452118058862,5
